stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting
165.6,55.1,83.3,91.9,65.6,56.2,18.2,36.7,53.0
165.2,65.1,91.0,99.8,71.7,59.8,20.7,34.4,54.1
164.8,72.2,101.6,104.9,93.0,64.4,20.6,35.9,52.6
170.3,65.4,92.3,98.4,72.3,58.8,21.6,37.2,55.2
161.3,53.6,87.6,92.3,72.2,54.4,20.3,36.2,52.0
162.9,71.3,94.7,105.6,77.7,65.7,21.5,40.1,50.8
160.8,68.6,106.7,96.6,88.3,59.8,21.7,35.7,49.9
164.9,63.5,88.1,97.6,70.5,59.0,21.4,35.2,50.3
171.2,66.1,87.4,98.8,70.9,57.4,20.7,38.0,55.7
168.6,83.0,103.4,111.4,92.7,66.9,22.1,38.2,51.0
163.5,66.9,90.1,100.8,78.0,63.2,21.6,38.1,50.8
159.9,55.3,88.3,90.7,68.9,54.4,20.3,35.6,51.9
169.1,57.9,80.5,94.6,64.9,56.1,18.6,36.9,55.3
158.8,61.4,94.6,96.6,73.6,60.3,21.1,36.1,50.0
164.5,60.4,90.0,96.7,74.7,56.6,20.9,33.9,50.9
171.7,60.0,87.7,98.5,74.3,57.5,18.9,37.1,53.7
163.3,52.0,91.2,87.2,67.5,49.3,19.6,37.2,52.3
158.6,61.4,89.6,96.2,79.2,59.8,22.6,35.9,50.3
174.7,73.7,97.0,104.4,76.5,61.2,21.6,34.1,56.0
161.7,77.6,104.6,108.1,90.8,67.6,22.4,38.5,52.4
154.8,48.1,85.2,87.6,64.5,49.0,18.5,35.7,49.4
165.7,57.5,87.6,89.4,70.0,52.7,20.3,37.1,53.4
165.3,69.9,96.5,104.4,78.7,61.9,19.8,37.0,52.3
165.4,46.6,76.7,85.0,63.7,49.6,18.8,35.6,52.4
150.0,59.1,90.1,99.7,77.5,59.9,18.9,35.7,47.3
160.3,61.1,89.2,97.0,71.0,58.7,21.7,36.5,49.9
152.9,49.2,82.3,86.8,67.9,49.5,19.2,34.4,47.6
166.9,57.7,86.6,91.2,65.1,55.9,20.1,35.8,54.9
177.0,76.4,92.4,105.3,75.6,64.5,23.8,38.3,56.7
162.5,55.0,88.5,89.7,66.1,52.4,21.6,35.7,51.0
